month,arimax_nowcast_raw,arimax_nowcast_norm
2023-08-01,304.07410343667806,118.35747458840571
2023-09-01,291.9658104619182,113.64445574901103
2023-10-01,272.47988858276904,106.05977662778052
2023-11-01,263.00550794543983,102.3719789730319
2023-12-01,259.3598915301177,100.95296318918558
2024-01-01,266.83196096860814,103.86138340219824
2024-02-01,315.6536423096396,122.86468175406758
2024-03-01,298.617834713413,116.23368246187285
2024-04-01,331.91996908196427,129.19616916402072
2024-05-01,328.95804818047725,128.0432742812652
2024-06-01,309.83666864319594,120.60048922623889
2024-07-01,306.91535273999114,119.46339938902338
2024-08-01,304.26243701815616,118.43078134762001
2024-09-01,296.870200008105,115.55343502256277
2024-10-01,276.271229236438,107.53551395628361
2024-11-01,267.49432079879705,104.11919962490161
2024-12-01,264.95746119215755,103.13175514004197
2025-01-01,270.2966797151629,105.20998677343772
2025-02-01,309.540895628288,120.48536285835605
2025-03-01,280.1590847078768,109.04881860789146
2025-04-01,317.68759918188357,123.65637692343495
2025-05-01,320.3840684387501,124.70594769562815
2025-06-01,305.55515440900916,118.93395726430815
2025-07-01,305.2328265978916,118.80849473631807
2025-08-01,296.2147677288302,115.2983152722719
2025-09-01,284.719800487765,110.82402667698462
2025-10-01,256.03227792898963,99.65772647621253
2025-11-01,251.26711243320705,97.80293862120506
2025-12-01,254.5001251758726,99.06135299852055
2026-01-01,256.9116183782322,100.0
2026-02-01,297.608247851839,115.84071196565822
2026-03-01,273.9619352649972,106.63664687272454
2026-04-01,307.0117470843071,119.50091981917149
2026-05-01,310.19683167649896,120.74067869512184
