year_month,commodity,cpi_category,median_price_ghc,n_markets
2022-12,Plantain,Food & Beverages,4.93,8
2022-12,Pepper,Food & Beverages,2.87,9
2022-12,Onions,Food & Beverages,3.74,7
2022-12,Sorghum,Food & Beverages,7.92,10
2022-12,Maize,Food & Beverages,5.89,11
2022-12,Fish (fresh),Food & Beverages,9.55,7
2022-12,Eggs,Food & Beverages,3.11,7
2022-12,Chicken,Food & Beverages,9.79,9
2022-12,Cassava,Food & Beverages,2.18,7
2022-12,Beans/Cowpea,Food & Beverages,12.635000000000002,10
2022-12,Millet,Food & Beverages,10.15,11
2023-01,Yam,Food & Beverages,4.33,15
2023-01,Tomatoes,Food & Beverages,4.8,17
2023-01,Sorghum,Food & Beverages,8.155000000000001,14
2023-01,Rice,Food & Beverages,9.665,14
2023-01,Plantain,Food & Beverages,6.109999999999999,14
2023-01,Pepper,Food & Beverages,7.93,11
2023-01,Onions,Food & Beverages,3.785,12
2023-01,Fish (fresh),Food & Beverages,10.955,10
2023-01,Maize,Food & Beverages,5.625,14
2023-01,Eggs,Food & Beverages,3.4,13
2023-01,Chicken,Food & Beverages,12.254999999999999,12
2023-01,Cassava,Food & Beverages,3.2,13
2023-01,Beans/Cowpea,Food & Beverages,10.07,13
2023-01,Millet,Food & Beverages,9.105,10
2023-02,Plantain,Food & Beverages,6.640000000000001,14
2023-02,Yam,Food & Beverages,10.63,20
2023-02,Pepper,Food & Beverages,4.115,16
2023-02,Sorghum,Food & Beverages,9.02,12
2023-02,Tomatoes,Food & Beverages,8.795000000000002,18
2023-02,Rice,Food & Beverages,10.73,18
2023-02,Onions,Food & Beverages,4.91,11
2023-02,Eggs,Food & Beverages,7.83,11
2023-02,Maize,Food & Beverages,6.18,17
2023-02,Fish (fresh),Food & Beverages,10.79,15
2023-02,Chicken,Food & Beverages,15.59,11
2023-02,Cassava,Food & Beverages,5.3,16
2023-02,Beans/Cowpea,Food & Beverages,7.875,16
2023-02,Millet,Food & Beverages,9.805,18
2023-03,Yam,Food & Beverages,4.59,17
2023-03,Tomatoes,Food & Beverages,7.23,19
2023-03,Sorghum,Food & Beverages,8.93,12
2023-03,Rice,Food & Beverages,9.934999999999999,14
2023-03,Plantain,Food & Beverages,5.61,15
2023-03,Pepper,Food & Beverages,7.37,9
2023-03,Onions,Food & Beverages,4.35,13
2023-03,Maize,Food & Beverages,5.73,17
2023-03,Fish (fresh),Food & Beverages,10.21,15
2023-03,Eggs,Food & Beverages,4.87,13
2023-03,Chicken,Food & Beverages,16.0,17
2023-03,Cassava,Food & Beverages,3.54,15
2023-03,Beans/Cowpea,Food & Beverages,12.62,15
2023-03,Millet,Food & Beverages,9.575,14
2023-04,Pepper,Food & Beverages,4.395,16
2023-04,Yam,Food & Beverages,17.31,13
2023-04,Tomatoes,Food & Beverages,7.09,15
2023-04,Sorghum,Food & Beverages,9.02,9
2023-04,Rice,Food & Beverages,12.9,17
2023-04,Plantain,Food & Beverages,7.555,16
2023-04,Onions,Food & Beverages,3.745,12
2023-04,Beans/Cowpea,Food & Beverages,6.390000000000001,10
2023-04,Maize,Food & Beverages,6.09,18
2023-04,Fish (fresh),Food & Beverages,8.885,10
2023-04,Eggs,Food & Beverages,8.7,11
2023-04,Chicken,Food & Beverages,19.93,8
2023-04,Cassava,Food & Beverages,8.97,15
2023-04,Millet,Food & Beverages,9.934999999999999,16
2023-05,Pepper,Food & Beverages,4.865,16
2023-05,Tomatoes,Food & Beverages,7.609999999999999,18
2023-05,Sorghum,Food & Beverages,8.04,13
2023-05,Rice,Food & Beverages,13.16,17
2023-05,Yam,Food & Beverages,18.55,17
2023-05,Plantain,Food & Beverages,8.21,19
2023-05,Onions,Food & Beverages,3.91,15
2023-05,Eggs,Food & Beverages,11.23,14
2023-05,Maize,Food & Beverages,6.4399999999999995,18
2023-05,Fish (fresh),Food & Beverages,15.47,13
2023-05,Chicken,Food & Beverages,18.89,11
2023-05,Cassava,Food & Beverages,8.11,12
2023-05,Beans/Cowpea,Food & Beverages,7.2,11
2023-05,Millet,Food & Beverages,10.01,15
2023-06,Yam,Food & Beverages,17.5,17
2023-06,Tomatoes,Food & Beverages,8.15,14
2023-06,Sorghum,Food & Beverages,8.67,13
2023-06,Plantain,Food & Beverages,8.530000000000001,14
2023-06,Pepper,Food & Beverages,5.24,16
2023-06,Onions,Food & Beverages,4.77,12
2023-06,Rice,Food & Beverages,13.57,17
2023-06,Maize,Food & Beverages,6.82,15
2023-06,Fish (fresh),Food & Beverages,8.555,14
2023-06,Eggs,Food & Beverages,7.755,10
2023-06,Chicken,Food & Beverages,18.89,5
2023-06,Cassava,Food & Beverages,7.0,9
2023-06,Beans/Cowpea,Food & Beverages,4.25,11
2023-06,Millet,Food & Beverages,10.16,15
2023-07,Sorghum,Food & Beverages,7.65,13
2023-07,Rice,Food & Beverages,12.54,19
2023-07,Plantain,Food & Beverages,8.98,13
2023-07,Pepper,Food & Beverages,4.35,17
2023-07,Onions,Food & Beverages,4.234999999999999,14
2023-07,Millet,Food & Beverages,10.25,18
2023-07,Eggs,Food & Beverages,7.26,11
2023-07,Fish (fresh),Food & Beverages,7.04,11
2023-07,Chicken,Food & Beverages,19.165,8
2023-07,Cassava,Food & Beverages,8.91,15
2023-07,Beans/Cowpea,Food & Beverages,4.81,15
2023-07,Tomatoes,Food & Beverages,8.745000000000001,16
2023-07,Maize,Food & Beverages,6.67,19
2023-07,Yam,Food & Beverages,17.09,14
