source,cpi_category,product_name,price_ghc,unit,currency,url,scraped_at
Big Samps Market,Food & Beverages,5kg Peacock Rice,175.0,5kg,GHS,https://bigsampsmarket.com/product/5kg-peacock-rice/,2026-05-05T15:03:20.014670+00:00
Big Samps Market,Food & Beverages,5kg Royal Aroma Rice,85.0,5kg,GHS,https://bigsampsmarket.com/product/5kg-royal-aroma-rice/,2026-05-05T15:03:20.022236+00:00
Big Samps Market,Food & Beverages,5kg Royal Umbrella Rice,160.0,5kg,GHS,https://bigsampsmarket.com/product/5kg-royal-umbrella-rice/,2026-05-05T15:03:20.027497+00:00
Big Samps Market,Food & Beverages,Agushie (Melon) Seeds – One Cup,30.0,,GHS,https://bigsampsmarket.com/product/one-cup-melon-seeds-agushie/,2026-05-05T15:03:20.032449+00:00
Big Samps Market,Food & Beverages,Agushie Powder – 1 Cup,30.0,,GHS,https://bigsampsmarket.com/product/agushie-powder-cup/,2026-05-05T15:03:20.035633+00:00
Big Samps Market,Food & Beverages,Agushie Powder – Half Cup,15.0,,GHS,https://bigsampsmarket.com/product/agushie-powder-small-quantity/,2026-05-05T15:03:20.044262+00:00
Big Samps Market,Food & Beverages,Beans (1 cup),12.0,,GHS,https://bigsampsmarket.com/product/beans-cup/,2026-05-05T15:03:20.048522+00:00
Big Samps Market,Food & Beverages,Brown rice (1 cup),18.0,,GHS,https://bigsampsmarket.com/product/brown-rice-1-cup/,2026-05-05T15:03:20.054215+00:00
Big Samps Market,Food & Beverages,Gari – Olonka,35.0,,GHS,https://bigsampsmarket.com/product/gari-olonka/,2026-05-05T15:03:20.057493+00:00
Big Samps Market,Food & Beverages,Paris rice 4.5kg,75.0,5kg,GHS,https://bigsampsmarket.com/product/paris-rice-4-5kg/,2026-05-05T15:03:20.063971+00:00
Big Samps Market,Food & Beverages,Red Beans (1 cup),17.0,,GHS,https://bigsampsmarket.com/product/red-beans-1-cup/,2026-05-05T15:03:20.072111+00:00
Big Samps Market,Food & Beverages,Roasted peanuts 500ml,20.0,500ml,GHS,https://bigsampsmarket.com/product/roasted-peanuts-500ml/,2026-05-05T15:03:20.080604+00:00
Big Samps Market,Food & Beverages,Wheat (1 cup),10.0,,GHS,https://bigsampsmarket.com/product/wheat-1cup/,2026-05-05T15:03:20.085057+00:00
Big Samps Market,Food & Beverages,1kg Aglow Broiler Wings,50.0,1kg,GHS,https://bigsampsmarket.com/product/1kg-aglow-broiler-wings/,2026-05-05T15:03:29.320366+00:00
Big Samps Market,Food & Beverages,1kg Aglow Chicken Drumsticks & Thighs,50.0,1kg,GHS,https://bigsampsmarket.com/product/2kg-chicken-drumsticks-thighs/,2026-05-05T15:03:29.323503+00:00
Big Samps Market,Food & Beverages,1kg Aglow Chicken Gizzards,40.0,1kg,GHS,https://bigsampsmarket.com/product/1kg-aglow-chicken-gizzards/,2026-05-05T15:03:29.327552+00:00
Big Samps Market,Food & Beverages,2.5kg Aglow Full Broiler Chicken (Family Pack),160.0,5kg,GHS,https://bigsampsmarket.com/product/2-5kg-aglow-full-broiler-chicken-family-pack/,2026-05-05T15:03:29.331100+00:00
Big Samps Market,Food & Beverages,Eat Ghana Bundle 1,299.0,,GHS,https://bigsampsmarket.com/product/eat-ghana-bundle-1/,2026-05-05T15:03:29.334187+00:00
Big Samps Market,Food & Beverages,Peeled shrimps 500grams,95.0,500g,GHS,https://bigsampsmarket.com/product/peeled-shrimps-500grams/,2026-05-05T15:03:29.345939+00:00
Big Samps Market,Food & Beverages,1kg Chicken Drumsticks (Soft),43.0,1kg,GHS,https://bigsampsmarket.com/product/chicken-drumsticks-soft/,2026-05-05T15:03:29.349712+00:00
Big Samps Market,Food & Beverages,1kg Chicken Thigh Soft,38.0,1kg,GHS,https://bigsampsmarket.com/product/1kg-chicken-thigh-soft/,2026-05-05T15:03:29.352938+00:00
Big Samps Market,Food & Beverages,1kg Hard Chicken Thigh,45.0,1kg,GHS,https://bigsampsmarket.com/product/1kg-chicken-thigh/,2026-05-05T15:03:29.356115+00:00
Big Samps Market,Food & Beverages,1kg Pack of Gizzards,38.0,1kg,GHS,https://bigsampsmarket.com/product/1kg-pack-of-gizzards/,2026-05-05T15:03:29.359615+00:00
Big Samps Market,Food & Beverages,2kg Broiler Chicken Breast,105.0,2kg,GHS,https://bigsampsmarket.com/product/2kg-broiler-chicken-breast/,2026-05-05T15:03:29.363619+00:00
Big Samps Market,Food & Beverages,3 Fresh Medium Tilapia (Dressed),85.0,,GHS,https://bigsampsmarket.com/product/3-fresh-medium-tilapia/,2026-05-05T15:03:29.368386+00:00
Big Samps Market,Food & Beverages,3 Large Tilapia sizes (Dressed),110.0,3 L,GHS,https://bigsampsmarket.com/product/3-large-tilapia-sizes/,2026-05-05T15:03:29.380332+00:00
Big Samps Market,Food & Beverages,Abidjan Salmon (Smoked Mackerel),45.0,,GHS,https://bigsampsmarket.com/product/abidjan-salmon/,2026-05-05T15:03:29.385243+00:00
Big Samps Market,Food & Beverages,Amane – Herrings (3),15.0,,GHS,https://bigsampsmarket.com/product/amane-herrings-3/,2026-05-05T15:03:29.389574+00:00
Big Samps Market,Food & Beverages,Boneless Cow Meat (about 370g),40.0,370g,GHS,https://bigsampsmarket.com/product/boneless-cow-meat-1-pound/,2026-05-05T15:03:29.401076+00:00
